state_a,state_b,median_diff,U_statistic,p_value,p_value_bh,significant_bh
Nagaland,Puducherry,0.1287783811756299,3144248.5,0.0,0.0,True
Ladakh,Nagaland,-0.1287783811756299,48180.0,4.326008189763656e-257,1.2149640022314948e-256,True
Jammu and Kashmir,Puducherry,0.10695187165775401,3847901.0,2.636927080081718e-258,7.445441167289556e-258,True
Jammu and Kashmir,Ladakh,0.10695187165775401,1702038.0,4.204622494851684e-180,9.098527365908562e-180,True
Nagaland,Sikkim,0.10288841353808942,5870449.0,0.0,0.0,True
Nagaland,Tamil Nadu,0.10027165663448033,3096736.5,0.00011310949487587492,0.00012871080451392662,True
Puducherry,Rajasthan,-0.09523809523809523,742388.5,0.0,0.0,True
Ladakh,Rajasthan,-0.09523809523809523,144245.5,2.0350813110638135e-237,5.293216414983713e-237,True
Nagaland,Odisha,0.09377838117562995,6937617.0,0.0,0.0,True
Ladakh,Uttar Pradesh,-0.09178028385896551,93064.0,5.0011189038148517e-253,1.375307698549084e-252,True
Puducherry,Uttar Pradesh,-0.09178028385896551,518361.5,0.0,0.0,True
Manipur,Puducherry,0.09090909090909091,954890.5,3.558203061476117e-165,7.170729833814465e-165,True
Ladakh,Manipur,-0.09090909090909091,41845.0,4.656558101390836e-154,8.876038547055456e-154,True
Ladakh,Maharashtra,-0.09034267912772588,167130.0,6.471866420790391e-233,1.658808480668605e-232,True
Maharashtra,Puducherry,0.09034267912772588,4895786.5,0.0,0.0,True
Mizoram,Puducherry,0.08915662650602402,1861697.5,1.6059491229512555e-182,3.5038889955300123e-182,True
Ladakh,Mizoram,-0.08915662650602402,115651.0,8.101990471300651e-161,1.6082146499423847e-160,True
Dadra and Nagar Haveli and Daman and Diu,Nagaland,-0.08840046183443354,149495.5,0.0,0.0,True
Meghalaya,Nagaland,-0.08748918357532456,75851.0,0.0,0.0,True
Puducherry,Punjab,-0.08738095238095242,899319.5,8.218040196422256e-308,2.7290095746609756e-307,True
Ladakh,Punjab,-0.08738095238095242,160702.5,5.265983010927982e-235,1.362960308710772e-234,True
Nagaland,Tripura,0.08652486004886933,4385652.0,0.0,0.0,True
Puducherry,Uttarakhand,-0.08571428571428572,817093.5,1.4358839192995793e-265,4.14287819338895e-265,True
Ladakh,Uttarakhand,-0.08571428571428572,156411.0,1.4115264395646994e-216,3.387663454955278e-216,True
Ladakh,Madhya Pradesh,-0.08563353929268507,185144.0,6.2646127594185745e-226,1.5602431778174564e-225,True
Madhya Pradesh,Puducherry,0.08563353929268507,4819280.0,2.2079231096203785e-299,7.240890694904098e-299,True
Ladakh,West Bengal,-0.0848724370010958,169099.0,1.2085413247255563e-222,2.995820748615464e-222,True
Puducherry,West Bengal,-0.0848724370010958,942960.0,2.532819586400056e-265,7.26809098706103e-265,True
Chhattisgarh,Puducherry,0.08421052631578956,4569719.0,3.904331144078331e-280,1.2198147006351236e-279,True
Chhattisgarh,Ladakh,0.08421052631578956,2072330.5,6.790528718218393e-213,1.6150446681168069e-212,True
Arunachal Pradesh,Nagaland,-0.08184697323339163,407537.0,0.0,0.0,True
Himachal Pradesh,Ladakh,0.08146596858638745,1706564.0,2.349244668957783e-117,3.9006326578921675e-117,True
Himachal Pradesh,Puducherry,0.08146596858638745,3834536.5,3.1696865573170755e-155,6.085798190048785e-155,True
Haryana,Nagaland,-0.08115933355658228,459838.0,0.0,0.0,True
