state_a,state_b,median_diff,U_statistic,p_value,p_value_bh,significant_bh
Delhi,Ladakh,0.2305726976140875,2333508.0,1.7783228092971052e-301,4.766225547440439e-301,True
Andhra Pradesh,Delhi,-0.18964582090361773,583195.0,0.0,0.0,True
Delhi,Sikkim,0.1882586961786218,10630473.5,0.0,0.0,True
Goa,Ladakh,0.1840264998159735,1646512.0,2.753542898490829e-277,6.798166077186902e-277,True
Delhi,Telangana,0.18367014230943776,18268035.5,0.0,0.0,True
Delhi,Himachal Pradesh,0.18211238599588114,18339928.5,0.0,0.0,True
Delhi,Gujarat,0.17666670784027927,18150967.5,0.0,0.0,True
Delhi,Odisha,0.1762476560002735,18683313.0,0.0,0.0,True
Andaman and Nicobar Islands,Delhi,-0.175372021928575,203087.5,0.0,0.0,True
Assam,Delhi,-0.17193559026562838,44398.5,0.0,0.0,True
Chandigarh,Delhi,-0.1633533672368624,183262.0,0.0,0.0,True
Delhi,Madhya Pradesh,0.1633533672368624,18697685.0,0.0,0.0,True
Bihar,Delhi,-0.1630391024683241,265760.0,0.0,0.0,True
Delhi,Nagaland,0.15823340473393088,11766432.5,0.0,0.0,True
Delhi,West Bengal,0.15803501505799475,18272731.5,0.0,0.0,True
Delhi,Haryana,0.15700416088765604,18150896.0,0.0,0.0,True
Delhi,Tripura,0.15547012445429076,14423134.5,0.0,0.0,True
Dadra and Nagar Haveli and Daman and Diu,Delhi,-0.15414732905083253,144398.5,0.0,0.0,True
Delhi,Karnataka,0.1536673517114308,15079272.5,0.0,0.0,True
Delhi,Uttarakhand,0.15352925741275256,16217114.5,0.0,0.0,True
Delhi,Rajasthan,0.15224862881948328,17206016.0,0.0,0.0,True
Delhi,Mizoram,0.14896844660194175,8671904.0,0.0,0.0,True
Delhi,Manipur,0.14706627268889827,5881699.5,0.0,0.0,True
Delhi,Jharkhand,0.14674001969775574,14833236.0,0.0,0.0,True
Delhi,Tamil Nadu,0.145388125729241,18208386.5,0.0,0.0,True
Chhattisgarh,Delhi,-0.14515747099218565,634843.5,0.0,0.0,True
Andhra Pradesh,Goa,-0.14309962310550373,860608.0,0.0,0.0,True
Jammu and Kashmir,Ladakh,0.14212422346393638,1823374.0,6.88331916289736e-235,1.545499962990162e-234,True
Goa,Sikkim,0.14171249838050776,7475247.0,0.0,0.0,True
Delhi,Uttar Pradesh,0.14108242603437354,16839443.5,0.0,0.0,True
Delhi,Meghalaya,0.1391759115767278,15644301.5,0.0,0.0,True
Delhi,Puducherry,0.13745528870720491,14466240.0,0.0,0.0,True
Goa,Telangana,0.13712394451132376,12924871.5,0.0,0.0,True
Goa,Himachal Pradesh,0.13556618819776714,12976457.0,0.0,0.0,True
Ladakh,Punjab,-0.13202064406863312,185340.0,7.623497835571449e-228,1.6554675956806613e-227,True
Ladakh,Maharashtra,-0.13042642948983602,140094.5,2.3117749964541156e-249,5.331419080969763e-249,True
Goa,Gujarat,0.1301205100421653,12760792.0,0.0,0.0,True
Goa,Odisha,0.1297014582021595,13220779.0,0.0,0.0,True
Andaman and Nicobar Islands,Goa,-0.128825824130461,281864.0,0.0,0.0,True
Assam,Goa,-0.1253893924675144,119826.5,0.0,0.0,True
Arunachal Pradesh,Delhi,-0.12507138777841234,1048327.0,0.0,0.0,True
Kerala,Ladakh,0.12102071169417694,1622095.0,1.330343961222619e-173,2.528928616381656e-173,True
Goa,Madhya Pradesh,0.11680716943874839,13123055.5,0.0,0.0,True
Chandigarh,Goa,-0.11680716943874839,296040.0,0.0,0.0,True
Bihar,Goa,-0.11649290467021008,411883.5,0.0,0.0,True
Goa,Nagaland,0.11168720693581688,8220032.5,0.0,0.0,True
Goa,West Bengal,0.11148881725988075,12616611.5,0.0,0.0,True
Goa,Haryana,0.11045796308954203,12739069.5,0.0,0.0,True
Delhi,Kerala,0.10955198591991056,12756807.0,0.0,0.0,True
Goa,Tripura,0.10892392665617674,9924060.0,0.0,0.0,True
Dadra and Nagar Haveli and Daman and Diu,Goa,-0.10760113125271853,207210.0,0.0,0.0,True
Goa,Karnataka,0.1071211539133168,10319483.5,0.0,0.0,True
Goa,Uttarakhand,0.10698305961463855,11192764.5,0.0,0.0,True
Goa,Rajasthan,0.10570243102136928,12009225.5,0.0,0.0,True
Arunachal Pradesh,Ladakh,0.10550130983567516,1193030.5,7.7536156828491e-195,1.574539703513725e-194,True
Goa,Mizoram,0.10242224880382775,5909206.5,0.0,0.0,True
Andhra Pradesh,Jammu and Kashmir,-0.10119734675346662,2416716.0,0.0,0.0,True
Goa,Manipur,0.10052007489078427,3919352.5,0.0,0.0,True
Goa,Jharkhand,0.10019382189964172,10078520.5,0.0,0.0,True
Delhi,Maharashtra,0.10014626812425148,15181473.5,0.0,0.0,True
Jammu and Kashmir,Sikkim,0.09981022202847066,8234379.0,0.0,0.0,True
Goa,Tamil Nadu,0.098841927931127,12632759.0,0.0,0.0,True
Chhattisgarh,Goa,-0.09861127319407165,858198.0,0.0,0.0,True
Delhi,Punjab,0.09855205354545438,14345045.5,0.0,0.0,True
Jammu and Kashmir,Telangana,0.09522166815928665,14199819.5,0.0,0.0,True
Goa,Uttar Pradesh,0.09453622823625953,11765351.5,0.0,0.0,True
Himachal Pradesh,Jammu and Kashmir,-0.09366391184573003,843422.5,0.0,0.0,True
Ladakh,Puducherry,-0.09311740890688258,259232.5,1.3101704536125739e-168,2.4747664123793064e-168,True
Goa,Meghalaya,0.09262971377861379,10864580.0,0.0,0.0,True
Ladakh,Meghalaya,-0.0913967860373597,280751.5,1.754397075054548e-166,3.26208206142955e-166,True
Andhra Pradesh,Punjab,-0.09109376735816335,3177178.0,0.0,0.0,True
Goa,Puducherry,0.09090909090909091,9760718.0,0.0,0.0,True
Punjab,Sikkim,0.0897066426331674,9975570.5,0.0,0.0,True
Andhra Pradesh,Maharashtra,-0.08949955277936625,2987014.5,0.0,0.0,True
Ladakh,Uttar Pradesh,-0.08949027157971397,301899.5,1.3625614549234084e-167,2.565582486327304e-167,True
Delhi,Jammu and Kashmir,0.08844847415015111,12774490.0,0.0,0.0,True
Gujarat,Jammu and Kashmir,-0.08821823369012817,1408747.0,0.0,0.0,True
Maharashtra,Sikkim,0.08811242805437029,10012022.5,0.0,0.0,True
Jammu and Kashmir,Odisha,0.0877991818501224,14604171.0,0.0,0.0,True
Andaman and Nicobar Islands,Jammu and Kashmir,-0.0869235477784239,990506.5,0.0,0.0,True
Chhattisgarh,Ladakh,0.08541522662190185,1934025.0,1.4127341052642466e-146,2.5395069263813493e-146,True
Ladakh,Tamil Nadu,-0.08518457188484649,351969.0,4.201376893708093e-160,7.715491517766406e-160,True
Punjab,Telangana,0.08511808876398338,17052030.5,0.0,0.0,True
Jharkhand,Ladakh,0.08383267791633177,1707992.5,2.6867739003215713e-162,4.949320342697631e-162,True
Himachal Pradesh,Punjab,-0.08356033245042677,1016053.5,0.0,0.0,True
Maharashtra,Telangana,0.08352387418518628,17455544.0,0.0,0.0,True
Ladakh,Manipur,-0.08350642492518923,163554.0,7.304668978816708e-97,1.1259787674600884e-96,True
Assam,Jammu and Kashmir,-0.08348711611547728,816397.0,0.0,0.0,True
Himachal Pradesh,Maharashtra,-0.08196611787162966,980232.5,0.0,0.0,True
Ladakh,Mizoram,-0.08160425101214575,252057.0,2.2588936037295753e-96,3.464024985100766e-96,True
Andhra Pradesh,Kerala,-0.08009383498370717,4132121.0,1.6565343641017911e-239,3.7619768955746783e-239,True
Kerala,Sikkim,0.07870671025871122,6303503.0,2.09334191839064e-230,4.647531497919517e-230,True
Arunachal Pradesh,Goa,-0.07852518998029834,1233577.0,0.0,0.0,True
Ladakh,Rajasthan,-0.07832406879460421,414325.0,2.1328176913403316e-127,3.615460189024209e-127,True
Gujarat,Punjab,-0.0781146542948249,1927460.0,0.0,0.0,True
Odisha,Punjab,-0.07769560245481913,1167679.0,0.0,0.0,True
Ladakh,Uttarakhand,-0.07704344020133494,357675.5,2.2189292253755378e-141,3.9176940329330713e-141,True
Karnataka,Ladakh,0.0769053459026567,1664923.0,5.639298982037629e-130,9.641904868713762e-130,True
Andaman and Nicobar Islands,Punjab,-0.07681996838312063,1352142.0,0.0,0.0,True
Gujarat,Maharashtra,-0.0765204397160278,1603379.5,0.0,0.0,True
Dadra and Nagar Haveli and Daman and Diu,Ladakh,0.07642536856325496,611524.5,3.550512562678067e-105,5.603594097595358e-105,True
Maharashtra,Odisha,0.07610138787602203,17829295.0,0.0,0.0,True
Andaman and Nicobar Islands,Maharashtra,-0.07522575380432353,1071133.0,0.0,0.0,True
Ladakh,Tripura,-0.07510257315979675,338095.5,3.4592876465058325e-131,5.931631555247752e-131,True
Chandigarh,Jammu and Kashmir,-0.07490489308671128,1475030.5,0.0,0.0,True
Jammu and Kashmir,Madhya Pradesh,0.07490489308671128,13858719.0,0.0,0.0,True
Bihar,Jammu and Kashmir,-0.07459062831817297,1762751.0,0.0,0.0,True
Kerala,Telangana,0.0741181563895272,10831973.0,0.0,0.0,True
Haryana,Ladakh,0.07356853672643146,1900902.0,2.90584569973138e-124,4.87036110236668e-124,True
Assam,Punjab,-0.07338353672017402,1220313.0,0.0,0.0,True
Himachal Pradesh,Kerala,-0.07256040007597059,3727101.0,1.0013769092156759e-289,2.5462361580484067e-289,True
Ladakh,West Bengal,-0.07253768255609275,447465.0,5.701936535674917e-127,9.638216587291408e-127,True
Ladakh,Nagaland,-0.07233929288015661,279187.5,1.4496048452721555e-122,2.4092594495445044e-122,True
Assam,Maharashtra,-0.07178932214137691,935767.5,0.0,0.0,True
Jammu and Kashmir,Nagaland,0.06978493058377977,8450422.5,0.0,0.0,True
Jammu and Kashmir,West Bengal,0.06958654090784364,13013428.0,0.0,0.0,True
Haryana,Jammu and Kashmir,-0.06855568673750492,2015683.0,0.0,0.0,True
Bihar,Ladakh,0.06753359514576342,1777002.0,1.079499970166934e-108,1.731273537060177e-108,True
Chandigarh,Ladakh,0.0672193303772251,1706863.0,6.630370094228762e-109,1.0662351908286792e-108,True
Ladakh,Madhya Pradesh,-0.0672193303772251,494953.5,1.9839097831564828e-112,3.225208527262588e-112,True
