state_a,state_b,median_diff,U_statistic,p_value,p_value_bh,significant_bh
Goa,Ladakh,0.5198412698412699,1374840.0,1.8689079841196684e-293,3.4641752353620023e-293,True
Goa,Puducherry,0.46984126984126984,8988539.0,0.0,0.0,True
Dadra and Nagar Haveli and Daman and Diu,Goa,-0.46235555555555563,125.0,0.0,0.0,True
Goa,Himachal Pradesh,0.45210727969348663,10840868.0,0.0,0.0,True
Delhi,Goa,-0.4444444444444444,0.0,0.0,0.0,True
Arunachal Pradesh,Ladakh,0.443452380952381,1154590.0,2.5470040286634835e-271,4.4572570501610963e-271,True
Kerala,Ladakh,0.44252038525458487,1826635.0,6.206174002300163e-305,1.191185010118902e-304,True
Goa,Odisha,0.4324341682723186,11047094.0,0.0,0.0,True
Andaman and Nicobar Islands,Goa,-0.4280989601799274,262991.0,0.0,0.0,True
Goa,Jammu and Kashmir,0.42652329749103957,9099404.0,0.0,0.0,True
Goa,Tamil Nadu,0.4261367864609426,11069853.0,0.0,0.0,True
Assam,Ladakh,0.4237451737451738,2131910.0,1.76642618517632e-309,3.45731440848655e-309,True
Goa,Meghalaya,0.41805555555555557,9412521.5,0.0,0.0,True
Goa,Uttarakhand,0.4163150492264417,9837716.0,0.0,0.0,True
Goa,Punjab,0.41335604272095383,10798840.5,0.0,0.0,True
Goa,Uttar Pradesh,0.4127969348659004,9148538.0,0.0,0.0,True
Goa,Haryana,0.41269841269841273,10869758.0,0.0,0.0,True
Goa,Tripura,0.4040404040404041,8753413.0,0.0,0.0,True
Goa,Rajasthan,0.39661515820456217,10257104.5,0.0,0.0,True
Arunachal Pradesh,Puducherry,0.393452380952381,7361736.0,0.0,0.0,True
Kerala,Puducherry,0.3925203852545849,11816466.5,0.0,0.0,True
Chandigarh,Goa,-0.38888888888888895,31386.0,0.0,0.0,True
Arunachal Pradesh,Dadra and Nagar Haveli and Daman and Diu,0.38596666666666674,2851170.0,0.0,0.0,True
Dadra and Nagar Haveli and Daman and Diu,Kerala,-0.3850346709688706,42767.5,0.0,0.0,True
Goa,Mizoram,0.37777777777777777,6155243.0,0.0,0.0,True
Arunachal Pradesh,Himachal Pradesh,0.37571839080459773,8956236.0,0.0,0.0,True
Himachal Pradesh,Kerala,-0.3747863951068016,29012.5,0.0,0.0,True
Assam,Puducherry,0.3737451737451738,13316807.0,0.0,0.0,True
Bihar,Goa,-0.37167933125850855,56917.0,0.0,0.0,True
Arunachal Pradesh,Delhi,0.3680555555555555,9018920.5,0.0,0.0,True
Delhi,Kerala,-0.3671235598577594,46513.5,0.0,0.0,True
Assam,Dadra and Nagar Haveli and Daman and Diu,0.36625945945945954,5181927.0,0.0,0.0,True
Arunachal Pradesh,Odisha,0.3560452793834298,9045997.0,0.0,0.0,True
Assam,Himachal Pradesh,0.35601118359739053,15927663.0,0.0,0.0,True
Goa,Jharkhand,0.35555555555555557,9314247.0,0.0,0.0,True
Kerala,Odisha,0.35511328368563366,14643908.5,0.0,0.0,True
Karnataka,Ladakh,0.35272329981756345,1967771.0,6.846840303087133e-293,1.2573672778817423e-292,True
Goa,Maharashtra,0.3519274330430452,10931477.5,0.0,0.0,True
Andaman and Nicobar Islands,Arunachal Pradesh,-0.3517100712910385,766222.5,0.0,0.0,True
Andaman and Nicobar Islands,Kerala,-0.35077807559324237,866533.0,0.0,0.0,True
Arunachal Pradesh,Jammu and Kashmir,0.3501344086021506,7417318.0,0.0,0.0,True
Arunachal Pradesh,Tamil Nadu,0.3497478975720537,9035927.0,0.0,0.0,True
Jammu and Kashmir,Kerala,-0.3492024129043545,48183.5,0.0,0.0,True
Kerala,Tamil Nadu,0.3488159018742576,14661736.5,0.0,0.0,True
Assam,Delhi,0.3483483483483483,15790154.0,0.0,0.0,True
Arunachal Pradesh,Meghalaya,0.3416666666666667,7082656.0,0.0,0.0,True
Kerala,Meghalaya,0.34073467096887056,11703331.0,0.0,0.0,True
Arunachal Pradesh,Uttarakhand,0.33992616033755285,7988624.5,0.0,0.0,True
Kerala,Uttarakhand,0.33899416463975673,12994439.5,0.0,0.0,True
Goa,Madhya Pradesh,0.3378632478632479,11152297.5,0.0,0.0,True
Arunachal Pradesh,Punjab,0.336967153832065,8526695.0,0.0,0.0,True
Arunachal Pradesh,Uttar Pradesh,0.33640804597701146,7350450.0,0.0,0.0,True
Assam,Odisha,0.3363380721762226,15502356.0,0.0,0.0,True
Arunachal Pradesh,Haryana,0.33630952380952384,8763400.5,0.0,0.0,True
Kerala,Punjab,0.3360351581342689,13882558.5,0.0,0.0,True
Kerala,Uttar Pradesh,0.33547605027921534,12011062.5,0.0,0.0,True
Haryana,Kerala,-0.3353775281117277,186549.0,0.0,0.0,True
Goa,West Bengal,0.33521243574836995,10602529.0,0.0,0.0,True
Goa,Gujarat,0.3320261437908497,10255953.0,0.0,0.0,True
Andaman and Nicobar Islands,Assam,-0.3320028640838313,1725187.0,0.0,0.0,True
Assam,Jammu and Kashmir,0.3304272013949434,12701741.0,0.0,0.0,True
Assam,Tamil Nadu,0.3300406903648465,15473809.0,0.0,0.0,True
Arunachal Pradesh,Tripura,0.32765151515151514,6494748.0,0.0,0.0,True
Kerala,Tripura,0.326719519453719,10733185.0,0.0,0.0,True
Chhattisgarh,Goa,-0.324212271973466,462726.5,0.0,0.0,True
Assam,Meghalaya,0.3219594594594595,12194709.5,0.0,0.0,True
